2026-07-18 09:31: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260718093150
2026-07-18 23:33: **********Val Epoch 16: average Loss: 0.224739
2026-07-18 23:33: Train Epoch 17: 0/374 Loss: 0.196564
2026-07-18 23:35: Train Epoch 17: 20/374 Loss: 0.205027
2026-07-18 23:36: Train Epoch 17: 40/374 Loss: 0.208652
2026-07-18 23:38: Train Epoch 17: 60/374 Loss: 0.273701
2026-07-18 23:39: Train Epoch 17: 80/374 Loss: 0.214173
2026-07-18 23:41: Train Epoch 17: 100/374 Loss: 0.193051
2026-07-18 23:42: Train Epoch 17: 120/374 Loss: 0.231958
2026-07-18 23:43: Train Epoch 17: 140/374 Loss: 0.266541
2026-07-18 23:45: Train Epoch 17: 160/374 Loss: 0.165765
2026-07-18 23:46: Train Epoch 17: 180/374 Loss: 0.272740
2026-07-18 23:48: Train Epoch 17: 200/374 Loss: 0.250226
2026-07-18 23:49: Train Epoch 17: 220/374 Loss: 0.205405
2026-07-18 23:51: Train Epoch 17: 240/374 Loss: 0.196973
2026-07-18 23:52: Train Epoch 17: 260/374 Loss: 0.265036
2026-07-18 23:53: Train Epoch 17: 280/374 Loss: 0.197172
2026-07-18 23:55: Train Epoch 17: 300/374 Loss: 0.180685
2026-07-18 23:56: Train Epoch 17: 320/374 Loss: 0.302361
2026-07-18 23:58: Train Epoch 17: 340/374 Loss: 0.193935
2026-07-18 23:59: Train Epoch 17: 360/374 Loss: 0.184086
2026-07-19 00:00: **********Train Epoch 17: averaged Loss: 0.222846, tf_ratio: 1.000000
2026-07-19 00:01: **********Val Epoch 17: average Loss: 0.225205
2026-07-19 00:01: Train Epoch 18: 0/374 Loss: 0.190043
2026-07-19 00:02: Train Epoch 18: 20/374 Loss: 0.240817
2026-07-19 00:04: Train Epoch 18: 40/374 Loss: 0.297115
2026-07-19 00:05: Train Epoch 18: 60/374 Loss: 0.213423
2026-07-19 00:07: Train Epoch 18: 80/374 Loss: 0.193866
2026-07-19 00:08: Train Epoch 18: 100/374 Loss: 0.179086
2026-07-19 00:10: Train Epoch 18: 120/374 Loss: 0.211702
2026-07-19 00:11: Train Epoch 18: 140/374 Loss: 0.208480
2026-07-19 00:12: Train Epoch 18: 160/374 Loss: 0.255142
2026-07-19 00:14: Train Epoch 18: 180/374 Loss: 0.244129
2026-07-19 00:15: Train Epoch 18: 200/374 Loss: 0.216450
2026-07-19 00:17: Train Epoch 18: 220/374 Loss: 0.232127
2026-07-19 00:18: Train Epoch 18: 240/374 Loss: 0.194880
2026-07-19 00:20: Train Epoch 18: 260/374 Loss: 0.199525
2026-07-19 00:21: Train Epoch 18: 280/374 Loss: 0.250338
2026-07-19 00:22: Train Epoch 18: 300/374 Loss: 0.267736
2026-07-19 00:24: Train Epoch 18: 320/374 Loss: 0.215814
2026-07-19 00:25: Train Epoch 18: 340/374 Loss: 0.211178
2026-07-19 00:26: Train Epoch 18: 360/374 Loss: 0.217471
