2026-07-12 21:55: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260712215506
2026-07-13 08:30: Train Epoch 15: 60/374 Loss: 5.638807
2026-07-13 08:31: Train Epoch 15: 80/374 Loss: 3.724897
2026-07-13 08:32: Train Epoch 15: 100/374 Loss: 4.910844
2026-07-13 08:33: Train Epoch 15: 120/374 Loss: 4.461728
2026-07-13 08:34: Train Epoch 15: 140/374 Loss: 4.736783
2026-07-13 08:35: Train Epoch 15: 160/374 Loss: 4.755230
2026-07-13 08:36: Train Epoch 15: 180/374 Loss: 5.561070
2026-07-13 08:37: Train Epoch 15: 200/374 Loss: 4.425127
2026-07-13 08:38: Train Epoch 15: 220/374 Loss: 4.055300
2026-07-13 08:39: Train Epoch 15: 240/374 Loss: 4.106636
2026-07-13 08:40: Train Epoch 15: 260/374 Loss: 4.842475
2026-07-13 08:41: Train Epoch 15: 280/374 Loss: 5.593223
2026-07-13 08:42: Train Epoch 15: 300/374 Loss: 3.827179
2026-07-13 08:43: Train Epoch 15: 320/374 Loss: 4.997907
2026-07-13 08:44: Train Epoch 15: 340/374 Loss: 4.849952
2026-07-13 08:45: Train Epoch 15: 360/374 Loss: 4.035095
2026-07-13 08:45: **********Train Epoch 15: averaged Loss: 4.486497, tf_ratio: 1.000000
2026-07-13 08:46: **********Val Epoch 15: average Loss: 4.543658
2026-07-13 08:46: *********************************Current best model saved!
2026-07-13 08:46: Total training time: 651.3099min, best loss: 4.543658
2026-07-13 08:46: Saving current best model to C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260712215506\best_model.pth
2026-07-13 08:47: Horizon 01, MAE: 2.75, RMSE: 6.91, MAPE: 6.3476%, R2: 0.9081
2026-07-13 08:47: Horizon 02, MAE: 3.32, RMSE: 8.55, MAPE: 7.7112%, R2: 0.8593
2026-07-13 08:47: Horizon 03, MAE: 3.78, RMSE: 9.74, MAPE: 8.8206%, R2: 0.8172
2026-07-13 08:47: Horizon 04, MAE: 4.23, RMSE: 10.80, MAPE: 9.8296%, R2: 0.7756
2026-07-13 08:47: Horizon 05, MAE: 4.66, RMSE: 11.71, MAPE: 10.7530%, R2: 0.7362
2026-07-13 08:47: Horizon 06, MAE: 5.05, RMSE: 12.51, MAPE: 11.6270%, R2: 0.6988
2026-07-13 08:47: Horizon 07, MAE: 5.45, RMSE: 13.24, MAPE: 12.5320%, R2: 0.6628
2026-07-13 08:47: Horizon 08, MAE: 5.79, RMSE: 13.85, MAPE: 13.3095%, R2: 0.6310
2026-07-13 08:47: Horizon 09, MAE: 6.10, RMSE: 14.38, MAPE: 14.0935%, R2: 0.6019
2026-07-13 08:47: Horizon 10, MAE: 6.39, RMSE: 14.83, MAPE: 14.7870%, R2: 0.5765
2026-07-13 08:47: Horizon 11, MAE: 6.68, RMSE: 15.30, MAPE: 15.5113%, R2: 0.5497
2026-07-13 08:47: Horizon 12, MAE: 6.97, RMSE: 15.72, MAPE: 16.2362%, R2: 0.5242
2026-07-13 08:47: Average Horizon, MAE: 5.10, RMSE: 12.59, MAPE: 11.7965%, R2: 0.6951
2026-07-13 08:47: Model Parameters: 187212
2026-07-13 08:47: Error exporting results to CSV: [Errno 2] No such file or directory: 'c:\\Users\\student\\paperTest\\results_agcrn.csv'
